variant,stratum,n,mean_f1,ci_lo,ci_hi
adaptive_v1,1-hop,100,0.6512346666666667,0.5907616715888533,0.709234565711243
adaptive_v1,2-hop,99,0.49164107744107743,0.43622821262732886,0.5472624136379688
adaptive_v1,3+-hop,97,0.2539340206185567,0.2014104454713992,0.325165375117265
adaptive_v1,overall,296,0.46766058558558554,0.4285233646419491,0.5036511245963198
adaptive_v2,1-hop,100,0.7461476666666667,0.7070277631377349,0.7858924585238503
adaptive_v2,2-hop,99,0.6963161616161617,0.655935077278351,0.7305517153220416
adaptive_v2,3+-hop,97,0.25463676975945015,0.2036885668787508,0.31212179358131964
adaptive_v2,overall,296,0.5684115990990992,0.5323436454738374,0.60209138188631
adaptive_oracle,1-hop,100,0.8059000000000001,0.7693848687446017,0.8388276106513219
adaptive_oracle,2-hop,99,0.7772542087542087,0.7424673334268567,0.8079433068016619
adaptive_oracle,3+-hop,97,0.3638436426116838,0.30226189102893,0.42902123420637406
adaptive_oracle,overall,296,0.651456081081081,0.6158610865505747,0.6836659708699686
