setting,pipeline,stratum,judge,n,faithful,pct,wilson_lo,wilson_hi
v2-local,adaptive,1-hop,gpt5,18,8,0.4444,0.2456,0.6628
v2-local,adaptive,2-hop,gpt5,23,10,0.4348,0.2563,0.6319
v2-local,adaptive,3+-hop,gpt5,19,3,0.1579,0.0552,0.3757
v2-local,agentic,1-hop,gpt5,19,9,0.4737,0.2733,0.6829
v2-local,agentic,2-hop,gpt5,26,11,0.4231,0.2554,0.6105
v2-local,agentic,3+-hop,gpt5,15,3,0.2000,0.0705,0.4519
v2-local,agentic-graph,1-hop,gpt5,18,8,0.4444,0.2456,0.6628
v2-local,agentic-graph,2-hop,gpt5,19,5,0.2632,0.1181,0.4879
v2-local,agentic-graph,3+-hop,gpt5,23,6,0.2609,0.1255,0.4647
v2-local,graphrag,1-hop,gpt5,23,17,0.7391,0.5353,0.8745
v2-local,graphrag,2-hop,gpt5,22,14,0.6364,0.4295,0.8027
v2-local,graphrag,3+-hop,gpt5,15,6,0.4000,0.1982,0.6425
v2-local,vanilla,1-hop,gpt5,17,9,0.5294,0.3096,0.7383
v2-local,vanilla,2-hop,gpt5,21,9,0.4286,0.2447,0.6345
v2-local,vanilla,3+-hop,gpt5,22,1,0.0455,0.0081,0.2180
v2-local,adaptive,1-hop,gpt41,18,14,0.7778,0.5479,0.9100
v2-local,adaptive,2-hop,gpt41,23,7,0.3043,0.1560,0.5087
v2-local,adaptive,3+-hop,gpt41,19,3,0.1579,0.0552,0.3757
v2-local,agentic,1-hop,gpt41,19,14,0.7368,0.5121,0.8819
v2-local,agentic,2-hop,gpt41,26,13,0.5000,0.3206,0.6794
v2-local,agentic,3+-hop,gpt41,15,3,0.2000,0.0705,0.4519
v2-local,agentic-graph,1-hop,gpt41,18,13,0.7222,0.4913,0.8750
v2-local,agentic-graph,2-hop,gpt41,19,12,0.6316,0.4104,0.8085
v2-local,agentic-graph,3+-hop,gpt41,23,5,0.2174,0.0966,0.4190
v2-local,graphrag,1-hop,gpt41,23,18,0.7826,0.5810,0.9034
v2-local,graphrag,2-hop,gpt41,22,18,0.8182,0.6148,0.9269
v2-local,graphrag,3+-hop,gpt41,15,5,0.3333,0.1518,0.5829
v2-local,vanilla,1-hop,gpt41,17,15,0.8824,0.6566,0.9671
v2-local,vanilla,2-hop,gpt41,21,11,0.5238,0.3237,0.7166
v2-local,vanilla,3+-hop,gpt41,22,1,0.0455,0.0081,0.2180
