stratum,pipeline,judge,n,faithful_pct,ci_lo,ci_hi,ci_method
1-hop,vanilla,gpt5,17,0.5882352941176471,0.29411764705882354,0.8235294117647058,BCa
1-hop,vanilla,gpt41,17,0.8823529411764706,0.6470588235294118,1.0,BCa
1-hop,agentic,gpt5,19,0.2631578947368421,0.10526315789473684,0.47368421052631576,BCa
1-hop,agentic,gpt41,19,0.631578947368421,0.42105263157894735,0.8421052631578947,BCa
1-hop,agentic-graph,gpt5,18,0.3333333333333333,0.1111111111111111,0.6111111111111112,BCa
1-hop,agentic-graph,gpt41,18,0.6111111111111112,0.3888888888888889,0.8333333333333334,BCa
1-hop,graphrag,gpt5,23,0.5217391304347826,0.30434782608695654,0.7391304347826086,BCa
1-hop,graphrag,gpt41,23,0.9565217391304348,0.782608695652174,1.0,BCa
1-hop,adaptive,gpt5,18,0.3333333333333333,0.16666666666666663,0.6111111111111112,BCa
1-hop,adaptive,gpt41,18,0.7222222222222222,0.5,0.8888888888888888,BCa
2-hop,vanilla,gpt5,21,0.42857142857142855,0.23809523809523808,0.6666666666666666,BCa
2-hop,vanilla,gpt41,21,0.5714285714285714,0.3333333333333333,0.7619047619047619,BCa
2-hop,agentic,gpt5,26,0.2692307692307692,0.11538461538461539,0.46153846153846156,BCa
2-hop,agentic,gpt41,26,0.38461538461538464,0.19230769230769232,0.6153846153846154,BCa
2-hop,agentic-graph,gpt5,19,0.2631578947368421,0.10526315789473684,0.5263157894736842,BCa
2-hop,agentic-graph,gpt41,19,0.42105263157894735,0.21052631578947367,0.6842105263157895,BCa
2-hop,graphrag,gpt5,22,0.5454545454545454,0.36363636363636365,0.7727272727272727,BCa
2-hop,graphrag,gpt41,22,0.8636363636363636,0.6818181818181818,0.9545454545454546,BCa
2-hop,adaptive,gpt5,23,0.4782608695652174,0.30434782608695654,0.6956521739130435,BCa
2-hop,adaptive,gpt41,23,0.391304347826087,0.21739130434782608,0.6086956521739131,BCa
3+-hop,vanilla,gpt5,22,0.13636363636363635,0.045454545454545456,0.3181818181818182,BCa
3+-hop,vanilla,gpt41,22,0.18181818181818182,0.045454545454545456,0.4090909090909091,BCa
3+-hop,agentic,gpt5,15,0.26666666666666666,0.06666666666666667,0.5333333333333333,BCa
3+-hop,agentic,gpt41,15,0.26666666666666666,0.06666666666666667,0.5333333333333333,BCa
3+-hop,agentic-graph,gpt5,23,0.34782608695652173,0.17391304347826086,0.5652173913043478,BCa
3+-hop,agentic-graph,gpt41,23,0.34782608695652173,0.17391304347826086,0.5652173913043478,BCa
3+-hop,graphrag,gpt5,15,0.4,0.2,0.7070406553080223,BCa
3+-hop,graphrag,gpt41,15,0.2,0.06666666666666667,0.4,BCa
3+-hop,adaptive,gpt5,19,0.5263157894736842,0.3157894736842105,0.7368421052631579,BCa
3+-hop,adaptive,gpt41,19,0.21052631578947367,0.05263157894736842,0.42105263157894735,BCa
