setting,pipeline,judge,ca_z,ca_p,endpoint_fisher_p,cells
v2-local,adaptive,gpt5,-1.844,0.06512,0.07889,8/18;10/23;3/19
v2-local,agentic,gpt5,-1.582,0.11370,0.15181,9/19;11/26;3/15
v2-local,agentic-graph,gpt5,-1.209,0.22659,0.32163,8/18;5/19;6/23
v2-local,graphrag,gpt5,-2.053,0.04005,0.04861,17/23;14/22;6/15
v2-local,vanilla,gpt5,-3.317,0.00091,0.00087,9/17;9/21;1/22
v2-local,adaptive,gpt41,-3.826,0.00013,0.00023,14/18;7/23;3/19
v2-local,agentic,gpt41,-3.099,0.00194,0.00490,14/19;13/26;3/15
v2-local,agentic-graph,gpt41,-3.296,0.00098,0.00176,13/18;12/19;5/23
v2-local,graphrag,gpt41,-2.665,0.00770,0.00819,18/23;18/22;5/15
v2-local,vanilla,gpt41,-5.259,0.00000,0.00000,15/17;11/21;1/22
v3-azure,adaptive,gpt5,1.173,0.24064,0.32454,6/18;11/23;10/19
v3-azure,agentic,gpt5,0.026,0.97929,1.00000,5/19;7/26;4/15
v3-azure,agentic-graph,gpt5,0.141,0.88818,1.00000,6/18;5/19;8/23
v3-azure,graphrag,gpt5,-0.658,0.51042,0.52163,12/23;12/22;6/15
v3-azure,vanilla,gpt5,-2.951,0.00317,0.00547,10/17;9/21;3/22
v3-azure,adaptive,gpt41,-3.130,0.00175,0.00292,13/18;9/23;4/19
v3-azure,agentic,gpt41,-2.177,0.02945,0.04544,12/19;10/26;4/15
v3-azure,agentic-graph,gpt41,-1.657,0.09762,0.12200,11/18;8/19;8/23
v3-azure,graphrag,gpt41,-4.887,0.00000,0.00000,22/23;19/22;3/15
v3-azure,vanilla,gpt41,-4.376,0.00001,0.00002,15/17;12/21;4/22
musique,agentic-graph,gpt5,2.222,0.02631,0.03465,21/67;20/67;33/66
musique,graphrag,gpt5,1.823,0.06829,0.08366,28/67;36/67;38/66
musique,vanilla,gpt5,1.304,0.19228,0.22383,33/67;30/67;40/66
musique,agentic-graph,gpt41,1.278,0.20118,0.29920,56/67;59/67;60/66
musique,graphrag,gpt41,-2.393,0.01673,0.02056,63/67;59/67;53/66
musique,vanilla,gpt41,-0.878,0.37979,0.39776,62/67;59/67;58/66
