stratum,pipeline_i,pipeline_j,n_paired,mean_delta,delta_ci_lo,delta_ci_hi,ci_method,ci_excludes_zero
1-hop,vanilla,agentic,100,0.22365000000000004,0.1632525355570907,0.2845406377033889,BCa,True
1-hop,vanilla,agentic-graph,100,0.20974066666666671,0.1592487548806258,0.2681494957307022,BCa,True
1-hop,vanilla,graphrag,100,0.011203000000000008,-0.01419291185294378,0.03258751675909463,BCa,False
1-hop,vanilla,adaptive,100,0.10502366666666668,0.06690960685406465,0.16052277326747905,BCa,True
1-hop,agentic,agentic-graph,100,-0.013909333333333329,-0.043972891420817256,0.014219225642785957,BCa,False
1-hop,agentic,graphrag,100,-0.21244700000000002,-0.27963096629622153,-0.1375253302164123,BCa,True
1-hop,agentic,adaptive,100,-0.11862633333333335,-0.1786719612696578,-0.06867179749676389,BCa,True
1-hop,agentic-graph,graphrag,100,-0.1985376666666667,-0.26778655338087887,-0.14069252675796703,BCa,True
1-hop,agentic-graph,adaptive,100,-0.10471700000000002,-0.16327077000219056,-0.0580327253714749,BCa,True
1-hop,graphrag,adaptive,100,0.09382066666666666,0.05002985435488855,0.150201074365308,BCa,True
2-hop,vanilla,agentic,99,0.25915286195286197,0.20283234466489408,0.32264069741220514,BCa,True
2-hop,vanilla,agentic-graph,99,0.2682299663299663,0.2094500095295342,0.32725809166405273,BCa,True
2-hop,vanilla,graphrag,99,-0.018451178451178454,-0.0538948772473478,0.014891716628456318,BCa,False
2-hop,vanilla,adaptive,99,0.1972787878787879,0.14631124145216073,0.26994867628481667,BCa,True
2-hop,agentic,agentic-graph,99,0.009077104377104375,-0.029822956868322696,0.04548275464112242,BCa,False
2-hop,agentic,graphrag,99,-0.2776040404040404,-0.33868581638297834,-0.21576785978490262,BCa,True
2-hop,agentic,adaptive,99,-0.061874074074074074,-0.1196508732979363,-0.020409598784320623,BCa,True
2-hop,agentic-graph,graphrag,99,-0.2866811447811448,-0.34706466359320026,-0.22945606619872572,BCa,True
2-hop,agentic-graph,adaptive,99,-0.07095117845117845,-0.12394311001497257,-0.02567587807133783,BCa,True
2-hop,graphrag,adaptive,99,0.21572996632996638,0.16659131943455568,0.27550537801757613,BCa,True
3+-hop,vanilla,agentic,97,-0.008937800687285221,-0.05533662280397224,0.03601034466340483,BCa,False
3+-hop,vanilla,agentic-graph,97,-0.05661340206185567,-0.10260578509756925,-0.01504427354309779,BCa,True
3+-hop,vanilla,graphrag,97,-0.05867697594501718,-0.09808510436595341,-0.028443906964657005,BCa,True
3+-hop,vanilla,adaptive,97,-0.059380412371134006,-0.10203285503191839,-0.028726949223193715,BCa,True
3+-hop,agentic,agentic-graph,97,-0.04767560137457045,-0.08321661013854459,-0.010344508165816344,BCa,True
3+-hop,agentic,graphrag,97,-0.04973917525773197,-0.09589666517234505,-0.005345106395026575,BCa,True
3+-hop,agentic,adaptive,97,-0.05044261168384879,-0.09484096738615524,-0.011737253791239799,BCa,True
3+-hop,agentic-graph,graphrag,97,-0.0020635738831615165,-0.04808170680090997,0.04275957897171723,BCa,False
3+-hop,agentic-graph,adaptive,97,-0.0027670103092783485,-0.04803422909383706,0.03801000476126253,BCa,False
3+-hop,graphrag,adaptive,97,-0.0007034364261168322,-0.01191727378741169,0.01250409590856703,BCa,False
