stratum,pipeline,n,mean,ci_lo,ci_hi,ci_method
1-hop,vanilla,100,0.7562583333333334,0.7164380906005237,0.7936617669602235,BCa
1-hop,agentic,100,0.5326083333333334,0.46735663584559206,0.5975228539345343,BCa
1-hop,agentic-graph,100,0.5465176666666666,0.4809402295557587,0.6085748097979914,BCa
1-hop,graphrag,100,0.7450553333333333,0.7056836200286596,0.7812683070223541,BCa
1-hop,adaptive,100,0.6512346666666667,0.5878921591262221,0.710360954888329,BCa
2-hop,vanilla,99,0.6889198653198653,0.6455452718610161,0.7301124770290439,BCa
2-hop,agentic,99,0.4297670033670034,0.3735566561234369,0.49532609779246384,BCa
2-hop,agentic-graph,99,0.420689898989899,0.3666829357634158,0.4800467597878363,BCa
2-hop,graphrag,99,0.7073710437710437,0.6710105184064004,0.7434983772121708,BCa
2-hop,adaptive,99,0.49164107744107743,0.4383704369794477,0.5493810915085956,BCa
3+-hop,vanilla,97,0.19455360824742268,0.14330580635221007,0.25815485730223675,BCa
3+-hop,agentic,97,0.2034914089347079,0.1634785030702307,0.253783126831452,BCa
3+-hop,agentic-graph,97,0.25116701030927835,0.20249052052477928,0.31048654757451244,BCa
3+-hop,graphrag,97,0.2532305841924399,0.2010892697219266,0.3161151065700433,BCa
3+-hop,adaptive,97,0.2539340206185567,0.20124570108721165,0.31417234500326485,BCa
