variant,stratum,n,mean_f1,ci_lo,ci_hi
adaptive_v1,1-hop,100,0.6296029999999999,0.5664587459179777,0.6870963611548916
adaptive_v1,2-hop,99,0.4994925925925926,0.4344306808080723,0.5561179835721695
adaptive_v1,3+-hop,97,0.18079484536082474,0.1314767734192612,0.23672870649873679
adaptive_v1,overall,296,0.4390106981981982,0.4015300472444112,0.47715947037750994
adaptive_v2,1-hop,100,0.7504803333333334,0.7073061522574748,0.7913461136358921
adaptive_v2,2-hop,99,0.6938925925925926,0.6490481054043967,0.7314925519401407
adaptive_v2,3+-hop,97,0.22316323024054988,0.176240148844871,0.27791721061126967
adaptive_v2,overall,296,0.5587507882882883,0.5190830910950663,0.5914149227104555
adaptive_oracle,1-hop,100,0.83306,0.7960167518377609,0.865607722763134
adaptive_oracle,2-hop,99,0.7928269360269361,0.7575737312203179,0.8218106381311217
adaptive_oracle,3+-hop,97,0.28660481099656354,0.22989336944269567,0.34391910423052396
adaptive_oracle,overall,296,0.6405288288288289,0.5993010653714842,0.6743576837751011
