stratum,pipeline,judge,n,faithful_pct,ci_lo,ci_hi,ci_method
1-hop,vanilla,gpt5,17,0.5294117647058824,0.29411764705882354,0.7647058823529411,BCa
1-hop,vanilla,gpt41,17,0.8823529411764706,0.6470588235294118,1.0,BCa
1-hop,agentic,gpt5,19,0.47368421052631576,0.2631578947368421,0.6842105263157895,BCa
1-hop,agentic,gpt41,19,0.7368421052631579,0.47368421052631576,0.8947368421052632,BCa
1-hop,agentic-graph,gpt5,18,0.4444444444444444,0.2222222222222222,0.6666666666666666,BCa
1-hop,agentic-graph,gpt41,18,0.7222222222222222,0.47519991483138113,0.8888888888888888,BCa
1-hop,graphrag,gpt5,23,0.7391304347826086,0.5652173913043478,0.9130434782608695,BCa
1-hop,graphrag,gpt41,23,0.782608695652174,0.5652173913043478,0.9130434782608695,BCa
1-hop,adaptive,gpt5,18,0.4444444444444444,0.2222222222222222,0.6666666666666666,BCa
1-hop,adaptive,gpt41,18,0.7777777777777778,0.5555555555555556,0.9444444444444444,BCa
2-hop,vanilla,gpt5,21,0.42857142857142855,0.23809523809523808,0.6666666666666666,BCa
2-hop,vanilla,gpt41,21,0.5238095238095238,0.3333333333333333,0.7142857142857143,BCa
2-hop,agentic,gpt5,26,0.4230769230769231,0.23076923076923078,0.6153846153846154,BCa
2-hop,agentic,gpt41,26,0.5,0.3076923076923077,0.6923076923076923,BCa
2-hop,agentic-graph,gpt5,19,0.2631578947368421,0.10526315789473684,0.49078291182508177,BCa
2-hop,agentic-graph,gpt41,19,0.631578947368421,0.42105263157894735,0.8421052631578947,BCa
2-hop,graphrag,gpt5,22,0.6363636363636364,0.40909090909090917,0.8181818181818182,BCa
2-hop,graphrag,gpt41,22,0.8181818181818182,0.5909090909090909,0.9545454545454546,BCa
2-hop,adaptive,gpt5,23,0.43478260869565216,0.2608695652173913,0.6521739130434783,BCa
2-hop,adaptive,gpt41,23,0.30434782608695654,0.13043478260869565,0.479670943567963,BCa
3+-hop,vanilla,gpt5,22,0.045454545454545456,0.0,0.2272727272727273,BCa
3+-hop,vanilla,gpt41,22,0.045454545454545456,0.0,0.2272727272727273,BCa
3+-hop,agentic,gpt5,15,0.2,0.06666666666666667,0.4666666666666667,BCa
3+-hop,agentic,gpt41,15,0.2,0.06666666666666667,0.4666666666666667,BCa
3+-hop,agentic-graph,gpt5,23,0.2608695652173913,0.08695652173913043,0.4782608695652174,BCa
3+-hop,agentic-graph,gpt41,23,0.21739130434782608,0.08695652173913043,0.43478260869565216,BCa
3+-hop,graphrag,gpt5,15,0.4,0.2,0.6666666666666665,BCa
3+-hop,graphrag,gpt41,15,0.3333333333333333,0.13333333333333333,0.6,BCa
3+-hop,adaptive,gpt5,19,0.15789473684210525,0.05263157894736842,0.371117829243399,BCa
3+-hop,adaptive,gpt41,19,0.15789473684210525,0.05263157894736842,0.3684210526315789,BCa
