stratum,pipeline_i,pipeline_j,n_paired,mean_delta,delta_ci_lo,delta_ci_hi,ci_method,ci_excludes_zero
1-hop,vanilla,agentic,100,0.215871,0.1593998839345208,0.2880182563223038,BCa,True
1-hop,vanilla,agentic-graph,100,0.19047366666666665,0.13683080344732682,0.2551816781018128,BCa,True
1-hop,vanilla,graphrag,100,0.0056536666666666706,-0.036364407864000116,0.03409044958503217,BCa,False
1-hop,vanilla,adaptive,100,0.12706233333333333,0.08397053949198291,0.18398540036444003,BCa,True
1-hop,agentic,agentic-graph,100,-0.025397333333333334,-0.06167099387682304,0.0017083981541902212,BCa,False
1-hop,agentic,graphrag,100,-0.21021733333333334,-0.2789645550142048,-0.139527065624174,BCa,True
1-hop,agentic,adaptive,100,-0.08880866666666666,-0.1503382944410995,-0.040691733462046076,BCa,True
1-hop,agentic-graph,graphrag,100,-0.18482000000000004,-0.24731701869229278,-0.11990208733628877,BCa,True
1-hop,agentic-graph,adaptive,100,-0.06341133333333333,-0.12837069347462632,-0.01364296137754238,BCa,True
1-hop,graphrag,adaptive,100,0.12140866666666668,0.07699308699846362,0.1787577249814198,BCa,True
2-hop,vanilla,agentic,99,0.2976878787878788,0.23417243469309634,0.3708892151351013,BCa,True
2-hop,vanilla,agentic-graph,99,0.29726060606060606,0.23650783752709686,0.36186153058427356,BCa,True
2-hop,vanilla,graphrag,99,-0.008428619528619525,-0.04224963148414513,0.02459649506543668,BCa,False
2-hop,vanilla,adaptive,99,0.21235050505050507,0.15660218076039525,0.27464382487468003,BCa,True
2-hop,agentic,agentic-graph,99,-0.00042727272727271777,-0.03278085637279051,0.03173733016559549,BCa,False
2-hop,agentic,graphrag,99,-0.3061164983164983,-0.38144146920525995,-0.24020934294909518,BCa,True
2-hop,agentic,adaptive,99,-0.08533737373737373,-0.13855905468170981,-0.04007502629862515,BCa,True
2-hop,agentic-graph,graphrag,99,-0.30568922558922557,-0.37272658587073926,-0.2462671170258498,BCa,True
2-hop,agentic-graph,adaptive,99,-0.08491010101010103,-0.1353803383165049,-0.037669901931968966,BCa,True
2-hop,graphrag,adaptive,99,0.22077912457912463,0.1594795445536894,0.2832350286561571,BCa,True
3+-hop,vanilla,agentic,97,-0.08609243986254295,-0.13769398113747458,-0.04328791044050044,BCa,True
3+-hop,vanilla,agentic-graph,97,-0.13014123711340206,-0.17943273252493117,-0.08569775917850775,BCa,True
3+-hop,vanilla,graphrag,97,-0.08335360824742268,-0.12893081852758648,-0.04546535011059352,BCa,True
3+-hop,vanilla,adaptive,97,-0.09228762886597938,-0.136246752106104,-0.05740402628598875,BCa,True
3+-hop,agentic,agentic-graph,97,-0.044048797250859105,-0.07312104479393505,-0.015731701072171072,BCa,True
3+-hop,agentic,graphrag,97,0.0027388316151202687,-0.040026587972989316,0.04785325096202551,BCa,False
3+-hop,agentic,adaptive,97,-0.006195189003436426,-0.048695994581303165,0.03454948671239508,BCa,False
3+-hop,agentic-graph,graphrag,97,0.04678762886597936,0.0037850116216990456,0.09253290543008327,BCa,True
3+-hop,agentic-graph,adaptive,97,0.037853608247422676,-0.0033929485592618987,0.0849846557905922,BCa,False
3+-hop,graphrag,adaptive,97,-0.008934020618556695,-0.020257393081742594,0.003853695614403667,BCa,False
