stratum,pipeline,n,mean,ci_lo,ci_hi,ci_method
1-hop,vanilla,100,0.7566653333333333,0.7083078908968079,0.7980617179947475,BCa
1-hop,agentic,100,0.5407943333333333,0.47159494190826884,0.6126752536534431,BCa
1-hop,agentic-graph,100,0.5661916666666666,0.48872341390479435,0.6342665576136916,BCa
1-hop,graphrag,100,0.7510116666666667,0.7124492064565036,0.7872018585420768,BCa
1-hop,adaptive,100,0.6296029999999999,0.5680986766890476,0.6888835545444583,BCa
2-hop,vanilla,99,0.7118430976430976,0.672481916058504,0.7489846679485401,BCa
2-hop,agentic,99,0.4141552188552189,0.3500704119710957,0.4770508677041268,BCa
2-hop,agentic-graph,99,0.4145824915824916,0.35819781607743434,0.47899856603608804,BCa
2-hop,graphrag,99,0.7202717171717171,0.6850790230294419,0.7520042272714977,BCa
2-hop,adaptive,99,0.4994925925925926,0.4397516880523358,0.5569262713043709,BCa
3+-hop,vanilla,97,0.08850721649484536,0.049222260104947096,0.14290209942605087,BCa
3+-hop,agentic,97,0.1745996563573883,0.1370736680985495,0.22640066182043544,BCa
3+-hop,agentic-graph,97,0.21864845360824745,0.1720542731114273,0.27308504654605,BCa
3+-hop,graphrag,97,0.17186082474226805,0.12429876430409498,0.23024653661851835,BCa
3+-hop,adaptive,97,0.18079484536082474,0.13410656856010683,0.24045665794805016,BCa
