stratum,pipeline_i,pipeline_j,n_paired,mean_delta,wilcoxon_p,cliffs_delta,cliffs_delta_magnitude,holm_p,holm_family_size,delta_ci_lo,delta_ci_hi,ci_excludes_zero,significant
1-hop,vanilla,agentic,100,0.215871,3.02721004690792e-08,0.339,medium,7.568025117269801e-07,30,0.1593998839345208,0.2880182563223038,True,True
1-hop,vanilla,agentic-graph,100,0.19047366666666665,2.750641943074675e-07,0.2974,small,6.3264764690717526e-06,30,0.1368308034473268,0.2551816781018128,True,True
1-hop,vanilla,graphrag,100,0.0056536666666666706,0.1243661754359705,0.053,negligible,0.994929403487764,30,-0.0363644078640001,0.0340904495850321,False,False
1-hop,vanilla,adaptive,100,0.12706233333333333,1.5774294576457107e-06,0.2333,small,3.3126018610559926e-05,30,0.0839705394919829,0.18398540036444,True,True
1-hop,agentic,agentic-graph,100,-0.025397333333333334,0.17060593704847204,-0.0431,negligible,1.0,30,-0.061670993876823,0.0017083981541902,False,False
1-hop,agentic,graphrag,100,-0.21021733333333334,4.03008419035985e-06,-0.3089,small,8.0601683807197e-05,30,-0.2789645550142048,-0.139527065624174,True,True
1-hop,agentic,adaptive,100,-0.08880866666666666,0.036646888255682575,-0.1278,negligible,0.4031157708125083,30,-0.1503382944410995,-0.040691733462046,True,False
1-hop,agentic-graph,graphrag,100,-0.18482000000000004,2.1214689567312465e-05,-0.2663,small,0.00038186441221162436,30,-0.2473170186922927,-0.1199020873362887,True,True
1-hop,agentic-graph,adaptive,100,-0.06341133333333333,0.18522502925004725,-0.0829,negligible,1.0,30,-0.1283706934746263,-0.0136429613775423,True,False
1-hop,graphrag,adaptive,100,0.12140866666666668,4.5357477694395914e-05,0.1926,small,0.0007710771208047306,30,0.0769930869984636,0.1787577249814198,True,True
2-hop,vanilla,agentic,99,0.2976878787878788,3.485735647978668e-12,0.5241301907968574,large,9.76005981434027e-11,30,0.2341724346930963,0.3708892151351013,True,True
2-hop,vanilla,agentic-graph,99,0.29726060606060606,1.2579023255900373e-12,0.5454545454545454,large,3.7737069767701116e-11,30,0.2365078375270968,0.3618615305842735,True,True
2-hop,vanilla,graphrag,99,-0.008428619528619525,0.6465446078820333,-0.024997449239873484,negligible,1.0,30,-0.0422496314841451,0.0245964950654366,False,False
2-hop,vanilla,adaptive,99,0.21235050505050507,8.75409603424417e-09,0.37914498520559126,medium,2.2760649689034842e-07,30,0.1566021807603952,0.27464382487468,True,True
2-hop,agentic,agentic-graph,99,-0.00042727272727271777,0.8992515086102616,-0.003264972961942659,negligible,1.0,30,-0.0327808563727905,0.0317373301655954,False,False
2-hop,agentic,graphrag,99,-0.3061164983164983,2.710690032696339e-11,-0.556065707580859,large,7.318863088280116e-10,30,-0.3814414692052599,-0.2402093429490951,True,True
2-hop,agentic,adaptive,99,-0.08533737373737373,0.0036870797368762187,-0.15100499948984797,small,0.04424495684251462,30,-0.1385590546817098,-0.0400750262986251,True,True
2-hop,agentic-graph,graphrag,99,-0.30568922558922557,2.4152545269503768e-12,-0.5706560555045403,large,7.004238128156093e-11,30,-0.3727265858707392,-0.2462671170258498,True,True
2-hop,agentic-graph,adaptive,99,-0.08491010101010103,0.0015056587846261898,-0.155188246097337,small,0.021079222984766655,30,-0.1353803383165049,-0.0376699019319689,True,True
2-hop,graphrag,adaptive,99,0.22077912457912463,3.168030738952077e-08,0.4088358330782573,medium,7.603273773484985e-07,30,0.1594795445536894,0.2832350286561571,True,True
3+-hop,vanilla,agentic,97,-0.08609243986254295,9.426564054489182e-05,-0.362844085450101,medium,0.0015082502487182691,30,-0.1376939811374745,-0.0432879104405004,True,True
3+-hop,vanilla,agentic-graph,97,-0.13014123711340206,3.715495210835525e-07,-0.4180040386863641,medium,8.174089463838156e-06,30,-0.1794327325249311,-0.0856977591785077,True,True
3+-hop,vanilla,graphrag,97,-0.08335360824742268,0.00015812960709638674,-0.22616643639068976,small,0.002371944106445801,30,-0.1289308185275864,-0.0454653501105935,True,True
3+-hop,vanilla,adaptive,97,-0.09228762886597938,4.728414396061474e-06,-0.27122967371665424,small,8.9839873525168e-05,30,-0.136246752106104,-0.0574040262859887,True,True
3+-hop,agentic,agentic-graph,97,-0.044048797250859105,0.0031720353710394705,-0.09225209905409715,negligible,0.041236459823513115,30,-0.073121044793935,-0.015731701072171,True,False
3+-hop,agentic,graphrag,97,0.0027388316151202687,0.7599764614492699,0.09799128493995111,negligible,1.0,30,-0.0400265879729893,0.0478532509620255,False,False
3+-hop,agentic,adaptive,97,-0.006195189003436426,0.9011840247455585,0.06196195132320119,negligible,1.0,30,-0.0486959945813031,0.034549486712395,False,False
3+-hop,agentic-graph,graphrag,97,0.04678762886597936,0.0495580819126489,0.17738335636093103,small,0.495580819126489,30,0.003785011621699,0.0925329054300832,True,False
3+-hop,agentic-graph,adaptive,97,0.037853608247422676,0.0996082831623159,0.14379849080667445,negligible,0.8964745484608432,30,-0.0033929485592618,0.0849846557905922,False,False
3+-hop,graphrag,adaptive,97,-0.008934020618556695,0.12544647422396138,-0.03709214581783399,negligible,0.994929403487764,30,-0.0202573930817425,0.0038536956144036,False,False
